frequency [Hz],output p-p [mV],input p-p [mV],Gain (o/i)
0.1,192,112,1.714285714
0.1,194,112,1.732142857
0.1,194,112,1.732142857
0.3,186,112,1.660714286
0.3,184,112,1.642857143
0.3,184,112,1.642857143
0.6,180,118,1.525423729
0.6,180,118,1.525423729
0.6,188,118,1.593220339
1,170,118,1.440677966
1,174,118,1.474576271
1,182,118,1.542372881
3,138,118,1.169491525
3,130,118,1.101694915
3,130,118,1.101694915
6,99.2,118,0.840677966
6,106,118,0.898305085
6,103,118,0.872881356
10,88.8,118,0.752542373
10,93.6,118,0.793220339
10,97.6,118,0.827118644
30,72,118,0.610169492
30,80,118,0.677966102
30,78,118,0.661016949
60,65.6,118,0.555932203
60,70,116,0.603448276
60,71.2,116,0.613793103
100,66.4,118,0.562711864
100,68.8,118,0.583050847
100,69.6,118,0.589830508
300,64,118,0.542372881
300,67.2,118,0.569491525
300,68.8,118,0.583050847
