frequency [Hz],output p-p [mV],input p-p [mV],Gain (o/i)
0.1,184,118,1.559322034
0.1,180,118,1.525423729
0.1,180,118,1.525423729
0.3,184,118,1.559322034
0.3,194,118,1.644067797
0.3,194,118,1.644067797
0.6,188,118,1.593220339
0.6,192,118,1.627118644
0.6,196,118,1.661016949
1,180,118,1.525423729
1,180,118,1.525423729
1,184,118,1.559322034
3,148,118,1.254237288
3,150,118,1.271186441
3,156,118,1.322033898
6,118,118,1
6,128,118,1.084745763
6,130,118,1.101694915
10,104,118,0.881355932
10,106,118,0.898305085
10,108,118,0.915254237
30,96.8,118,0.820338983
30,91.2,118,0.772881356
30,88.8,118,0.752542373
60,87.2,118,0.738983051
60,92.8,116,0.8
60,92,116,0.793103448
100,86.4,118,0.73220339
100,85.6,118,0.725423729
100,80.8,118,0.684745763
300,88,118,0.745762712
300,88.8,118,0.752542373
300,88,118,0.745762712
