frequency [Hz],output p-p [mV],input p-p [mV],Gain (o/i)
0.1,182,118,1.542372881
0.1,190,118,1.610169492
0.1,192,118,1.627118644
0.3,172,118,1.457627119
0.3,176,118,1.491525424
0.3,176,118,1.491525424
0.6,158,118,1.338983051
0.6,156,118,1.322033898
0.6,158,118,1.338983051
1,134,118,1.13559322
1,138,118,1.169491525
1,138,118,1.169491525
3,108,118,0.915254237
3,108,118,0.915254237
3,108,118,0.915254237
6,94,118,0.796610169
6,104,118,0.881355932
6,104,118,0.881355932
10,100,118,0.847457627
10,98,118,0.830508475
10,104,118,0.881355932
30,88,118,0.745762712
30,88,118,0.745762712
30,90,118,0.762711864
60,100,118,0.847457627
60,98,118,0.830508475
60,102,118,0.86440678
100,98,118,0.830508475
100,110,118,0.93220339
100,96,118,0.813559322
300,98,118,0.830508475
300,96,118,0.813559322
300,102,118,0.86440678
