frequency [Hz],output p-p [mV],input p-p [mV],Gain (o/i)
0.1,182,118,1.542372881
0.1,196,118,1.661016949
0.1,196,118,1.661016949
0.3,184,118,1.559322034
0.3,192,118,1.627118644
0.3,192,118,1.627118644
0.6,176,118,1.491525424
0.6,182,118,1.542372881
0.6,184,118,1.559322034
1,168,118,1.423728814
1,168,118,1.423728814
1,168,118,1.423728814
3,108,118,0.915254237
3,114,118,0.966101695
3,116,118,0.983050847
6,103,118,0.872881356
6,107,118,0.906779661
6,106,118,0.898305085
10,98.4,118,0.833898305
10,99.2,118,0.840677966
10,101,118,0.855932203
30,93.6,118,0.793220339
30,94.4,118,0.8
30,100,118,0.847457627
60,88,118,0.745762712
60,91.2,116,0.786206897
60,94.4,116,0.813793103
100,90.4,118,0.766101695
100,87.2,118,0.738983051
100,91.2,118,0.772881356
300,86.4,118,0.73220339
300,80.4,118,0.681355932
300,87.2,118,0.738983051
