frequency [Hz],output p-p [mV],input p-p [mV],Gain (o/i)
0.1,194,118,1.644067797
0.1,188,118,1.593220339
0.1,192,118,1.627118644
0.3,182,118,1.542372881
0.3,182,118,1.542372881
0.3,186,118,1.576271186
0.6,186,118,1.576271186
0.6,182,118,1.542372881
0.6,188,118,1.593220339
1,180,118,1.525423729
1,182,118,1.542372881
1,186,118,1.576271186
3,168,118,1.423728814
3,170,118,1.440677966
3,166,118,1.406779661
6,146,118,1.237288136
6,144,118,1.220338983
6,148,118,1.254237288
10,123,118,1.042372881
10,126,118,1.06779661
10,127,118,1.076271186
30,91.2,118,0.772881356
30,96,118,0.813559322
30,92,118,0.779661017
60,78.4,118,0.66440678
60,80.4,118,0.681355932
60,81.2,118,0.688135593
100,74.8,118,0.633898305
100,72.4,118,0.613559322
100,74.4,118,0.630508475
300,74,118,0.627118644
300,72,118,0.610169492
300,66,118,0.559322034
