Model,DPO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,26040
Sample Interval,52.08
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
1.1353e+04,-71.0719
1.1406e+04,-73.0625
1.1458e+04,-75.05
1.1510e+04,-72.0406
1.1562e+04,-69.0312
1.1614e+04,-70.5375
1.1666e+04,-72.0406
1.1718e+04,-70.05
1.1770e+04,-68.0594
1.1822e+04,-68.0594
1.1874e+04,-68.0594
1.1926e+04,-68.5469
1.1978e+04,-69.0312
1.2030e+04,-70.5375
1.2083e+04,-72.0406
1.2135e+04,-70.5375
1.2187e+04,-69.0312
1.2239e+04,-70.0531
1.2291e+04,-71.0719
1.2343e+04,-70.0531
1.2395e+04,-69.0312
1.2447e+04,-68.5469
1.2499e+04,-68.0594
1.2551e+04,-68.0594
1.2603e+04,-68.0594
1.2655e+04,-69.5656
1.2708e+04,-71.0719
1.2760e+04,-71.5563
1.2812e+04,-72.0406
1.2864e+04,-70.5375
1.2916e+04,-69.0312
1.2968e+04,-67.9781
1.3020e+04,-66.9219
1.3072e+04,-69.4813
1.3124e+04,-72.0406
1.3176e+04,-70.05
1.3228e+04,-68.0594
1.3280e+04,-68.5469
1.3332e+04,-69.0312
1.3385e+04,-70.0531
1.3437e+04,-71.0719
1.3489e+04,-69.5656
1.3541e+04,-68.0594
1.3593e+04,-69.5656
1.3645e+04,-71.0719
1.3697e+04,-71.0719
1.3749e+04,-71.0719
1.3801e+04,-70.0531
1.3853e+04,-69.0312
1.3905e+04,-68.775
1.3957e+04,-68.5187
1.4010e+04,-69.7969
1.4062e+04,-71.0719
1.4114e+04,-71.0719
1.4166e+04,-71.0719
1.4218e+04,-69.5656
1.4270e+04,-68.0594
1.4322e+04,-68.5469
1.4374e+04,-69.0312
1.4426e+04,-67.3937
1.4478e+04,-65.7562
1.4530e+04,-66.9094
1.4582e+04,-68.0594
1.4634e+04,-70.05
1.4687e+04,-72.0406
1.4739e+04,-69.4813
1.4791e+04,-66.9219
1.4843e+04,-68.9969
1.4895e+04,-71.0719
1.4947e+04,-68.9969
1.4999e+04,-66.9219
1.5051e+04,-69.4813
1.5103e+04,-72.0406
1.5155e+04,-69.4813
1.5207e+04,-66.9219
1.5259e+04,-70.9875
1.5312e+04,-75.05
1.5364e+04,-72.0406
1.5416e+04,-69.0312
1.5468e+04,-70.0531
1.5520e+04,-71.0719
1.5572e+04,-68.2906
1.5624e+04,-65.5094
1.5676e+04,-68.775
1.5728e+04,-72.0406
1.5780e+04,-69.4813
1.5832e+04,-66.9219
1.5884e+04,-67.4906
1.5936e+04,-68.0594
1.5989e+04,-69.5656
1.6041e+04,-71.0719
1.6093e+04,-70.0531
1.6145e+04,-69.0312
1.6197e+04,-68.5469
1.6249e+04,-68.0594
1.6301e+04,-69.5656
1.6353e+04,-71.0719
1.6405e+04,-71.0719
1.6457e+04,-71.0719
1.6509e+04,-69.5656
1.6561e+04,-68.0594
1.6614e+04,-68.0594
1.6666e+04,-68.0594
1.6718e+04,-68.5469
1.6770e+04,-69.0312
1.6822e+04,-72.0406
1.6874e+04,-75.05
1.6926e+04,-70.9875
1.6978e+04,-66.9219
1.7030e+04,-67.9781
1.7082e+04,-69.0312
1.7134e+04,-69.0312
1.7186e+04,-69.0312
1.7238e+04,-70.0531
1.7291e+04,-71.0719
1.7343e+04,-68.9969
1.7395e+04,-66.9219
1.7447e+04,-67.7219
1.7499e+04,-68.5187
1.7551e+04,-68.5187
1.7603e+04,-68.5187
1.7655e+04,-67.1375
1.7707e+04,-65.7562
1.7759e+04,-65.7562
1.7811e+04,-65.7562
1.7863e+04,-66.9094
1.7916e+04,-68.0594
1.7968e+04,-69.5656
1.8020e+04,-71.0719
1.8072e+04,-68.9969
1.8124e+04,-66.9219
1.8176e+04,-67.4906
1.8228e+04,-68.0594
1.8280e+04,-73.0594
1.8332e+04,-78.0594
1.8384e+04,-71.0719
1.8436e+04,-64.0812
1.8488e+04,-67.5781
1.8540e+04,-71.0719
1.8593e+04,-67.5781
1.8645e+04,-64.0812
1.8697e+04,-67.5781
1.8749e+04,-71.0719
1.8801e+04,-68.9969
1.8853e+04,-66.9219
1.8905e+04,-66.9219
1.8957e+04,-66.9219
1.9009e+04,-70.9875
1.9061e+04,-75.05
1.9113e+04,-70.9875
1.9165e+04,-66.9219
1.9218e+04,-68.9969
1.9270e+04,-71.0719
1.9322e+04,-68.9969
1.9374e+04,-66.9219
1.9426e+04,-68.9969
1.9478e+04,-71.0719
1.9530e+04,-71.0719
1.9582e+04,-71.0719
1.9634e+04,-70.0531
1.9686e+04,-69.0312
1.9738e+04,-67.0406
1.9790e+04,-65.05
1.9842e+04,-68.5469
1.9895e+04,-72.0406
1.9947e+04,-70.5375
1.9999e+04,-69.0312
2.0051e+04,-70.0531
2.0103e+04,-71.0719
2.0155e+04,-71.0719
2.0207e+04,-71.0719
2.0259e+04,-69.5656
2.0311e+04,-68.0594
2.0363e+04,-68.5469
2.0415e+04,-69.0312
2.0467e+04,-70.5375
2.0520e+04,-72.0406
2.0572e+04,-69.4813
2.0624e+04,-66.9219
2.0676e+04,-68.9969
2.0728e+04,-71.0719
2.0780e+04,-71.0719
2.0832e+04,-71.0719
