Model,DPO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,2604
Sample Interval,5.208
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
0.0000e+00,-38.4156
5.2080e+00,-39.4813
1.0416e+01,-40.5438
1.5624e+01,-54.7875
2.0832e+01,-69.0312
2.6040e+01,-65.8906
3.1248e+01,-62.7469
3.6456e+01,-63.9
4.1664e+01,-65.05
4.6872e+01,-65.2812
5.2080e+01,-65.5094
5.7288e+01,-64.7969
6.2496e+01,-64.0812
6.7704e+01,-66.5563
7.2912e+01,-69.0312
7.8120e+01,-66.5563
8.3328e+01,-64.0812
8.8536e+01,-65.5031
9.3744e+01,-66.9219
9.8952e+01,-67.9781
1.0416e+02,-69.0312
1.0937e+02,-67.0406
1.1458e+02,-65.05
1.1978e+02,-67.0406
1.2499e+02,-69.0312
1.3020e+02,-66.5563
1.3541e+02,-64.0812
1.4062e+02,-66.0719
1.4582e+02,-68.0594
1.5103e+02,-66.7844
1.5624e+02,-65.5094
1.6145e+02,-66.7844
1.6666e+02,-68.0594
1.7186e+02,-67.4906
1.7707e+02,-66.9219
1.8228e+02,-66.9219
1.8749e+02,-66.9219
1.9270e+02,-67.9781
1.9790e+02,-69.0312
2.0311e+02,-67.0406
2.0832e+02,-65.05
2.1353e+02,-67.0406
2.1874e+02,-69.0312
2.2394e+02,-67.9781
2.2915e+02,-66.9219
2.3436e+02,-67.4906
2.3957e+02,-68.0594
2.4478e+02,-67.4906
2.4998e+02,-66.9219
2.5519e+02,-66.9219
2.6040e+02,-66.9219
2.6561e+02,-66.9219
2.7082e+02,-66.9219
2.7602e+02,-70.9875
2.8123e+02,-75.05
2.8644e+02,-72.0406
2.9165e+02,-69.0312
2.9686e+02,-67.0406
3.0206e+02,-65.05
3.0727e+02,-68.0625
3.1248e+02,-71.0719
3.1769e+02,-68.2906
3.2290e+02,-65.5094
3.2810e+02,-66.2156
3.3331e+02,-66.9219
3.3852e+02,-67.4906
3.4373e+02,-68.0594
3.4894e+02,-67.4906
3.5414e+02,-66.9219
3.5935e+02,-67.9781
3.6456e+02,-69.0312
3.6977e+02,-67.9781
3.7498e+02,-66.9219
3.8018e+02,-67.9781
3.8539e+02,-69.0312
3.9060e+02,-68.5469
3.9581e+02,-68.0594
4.0102e+02,-66.0719
4.0622e+02,-64.0812
4.1143e+02,-63.5469
4.1664e+02,-63.0094
4.2185e+02,-58.2313
4.2706e+02,-53.4531
4.3226e+02,-57.2625
4.3747e+02,-61.0719
4.4268e+02,-64.7969
4.4789e+02,-68.5187
4.5310e+02,-65.45
4.5830e+02,-62.3781
4.6351e+02,-64.0687
4.6872e+02,-65.7562
4.7393e+02,-67.3937
4.7914e+02,-69.0312
4.8434e+02,-68.5469
4.8955e+02,-68.0594
4.9476e+02,-68.5469
4.9997e+02,-69.0312
5.0518e+02,-67.9781
5.1038e+02,-66.9219
5.1559e+02,-68.9969
5.2080e+02,-71.0719
5.2601e+02,-68.9969
5.3122e+02,-66.9219
5.3642e+02,-66.4719
5.4163e+02,-66.0187
5.4684e+02,-65.5344
5.5205e+02,-65.05
5.5726e+02,-70.05
5.6246e+02,-75.05
5.6767e+02,-70.2812
5.7288e+02,-65.5094
5.7809e+02,-67.2719
5.8330e+02,-69.0312
5.8850e+02,-67.3937
5.9371e+02,-65.7562
5.9892e+02,-66.9094
6.0413e+02,-68.0594
6.0934e+02,-69.5656
6.1454e+02,-71.0719
6.1975e+02,-68.9969
6.2496e+02,-66.9219
6.3017e+02,-68.9969
6.3538e+02,-71.0719
6.4058e+02,-68.2906
6.4579e+02,-65.5094
6.5100e+02,-68.2906
6.5621e+02,-71.0719
6.6142e+02,-68.4156
6.6662e+02,-65.7562
6.7183e+02,-66.9094
6.7704e+02,-68.0594
6.8225e+02,-68.5469
6.8746e+02,-69.0312
6.9266e+02,-70.0531
6.9787e+02,-71.0719
7.0308e+02,-71.0719
7.0829e+02,-71.0719
7.1350e+02,-70.0531
7.1870e+02,-69.0312
7.2391e+02,-69.0312
7.2912e+02,-69.0312
7.3433e+02,-70.0531
7.3954e+02,-71.0719
7.4474e+02,-71.0719
7.4995e+02,-71.0719
7.5516e+02,-68.9969
7.6037e+02,-66.9219
7.6558e+02,-70.9875
7.7078e+02,-75.05
7.7599e+02,-71.5563
7.8120e+02,-68.0594
7.8641e+02,-70.05
7.9162e+02,-72.0406
7.9682e+02,-70.05
8.0203e+02,-68.0594
8.0724e+02,-68.5469
8.1245e+02,-69.0312
8.1766e+02,-72.0406
8.2286e+02,-75.05
8.2807e+02,-73.0625
8.3328e+02,-71.0719
8.3849e+02,-70.0531
8.4370e+02,-69.0312
8.4890e+02,-70.0531
8.5411e+02,-71.0719
8.5932e+02,-71.0719
8.6453e+02,-71.0719
8.6974e+02,-71.0719
8.7494e+02,-71.0719
8.8015e+02,-71.0719
8.8536e+02,-71.0719
8.9057e+02,-73.0625
8.9578e+02,-75.05
9.0098e+02,-73.0625
9.0619e+02,-71.0719
9.1140e+02,-70.0531
9.1661e+02,-69.0312
9.2182e+02,-70.0531
9.2702e+02,-71.0719
9.3223e+02,-71.0719
9.3744e+02,-71.0719
9.4265e+02,-71.5563
9.4786e+02,-72.0406
9.5306e+02,-69.4813
9.5827e+02,-66.9219
9.6348e+02,-70.9875
9.6869e+02,-75.05
9.7390e+02,-75.05
9.7910e+02,-75.05
9.8431e+02,-72.0406
9.8952e+02,-69.0312
9.9473e+02,-70.0531
9.9994e+02,-71.0719
1.0051e+03,-71.0719
1.0104e+03,-71.0719
1.0156e+03,-71.0719
1.0208e+03,-71.0719
1.0260e+03,-71.0719
1.0312e+03,-71.0719
1.0364e+03,-73.0625
1.0416e+03,-75.05
1.0468e+03,-72.0406
1.0520e+03,-69.0312
1.0572e+03,-72.0406
1.0624e+03,-75.05
1.0676e+03,-71.5563
1.0728e+03,-68.0594
1.0781e+03,-69.5656
1.0833e+03,-71.0719
1.0885e+03,-71.0719
1.0937e+03,-71.0719
1.0989e+03,-69.5656
1.1041e+03,-68.0594
1.1093e+03,-71.5563
1.1145e+03,-75.05
1.1197e+03,-75.05
1.1249e+03,-75.05
1.1301e+03,-70.9875
1.1353e+03,-66.9219
1.1406e+03,-67.7219
1.1458e+03,-68.5187
1.1510e+03,-69.7969
1.1562e+03,-71.0719
1.1614e+03,-71.5563
1.1666e+03,-72.0406
1.1718e+03,-70.5375
1.1770e+03,-69.0312
1.1822e+03,-69.0312
1.1874e+03,-69.0312
1.1926e+03,-70.0531
1.1978e+03,-71.0719
1.2030e+03,-71.0719
1.2083e+03,-71.0719
1.2135e+03,-71.0719
1.2187e+03,-71.0719
1.2239e+03,-68.9969
1.2291e+03,-66.9219
1.2343e+03,-68.9969
1.2395e+03,-71.0719
1.2447e+03,-71.0719
1.2499e+03,-71.0719
1.2551e+03,-71.0719
1.2603e+03,-71.0719
1.2655e+03,-69.5656
1.2708e+03,-68.0594
1.2760e+03,-69.5656
1.2812e+03,-71.0719
1.2864e+03,-71.0719
1.2916e+03,-71.0719
1.2968e+03,-73.0625
1.3020e+03,-75.05
1.3072e+03,-72.0406
1.3124e+03,-69.0312
1.3176e+03,-69.0312
1.3228e+03,-69.0312
1.3280e+03,-70.0531
1.3332e+03,-71.0719
1.3385e+03,-68.0625
1.3437e+03,-65.05
1.3489e+03,-70.05
1.3541e+03,-75.05
