Model,DPO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,260400
Sample Interval,520.8
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
1.1406e+05,-65.05
1.1458e+05,-66.0187
1.1510e+05,-70.5344
1.1562e+05,-75.05
1.1614e+05,-72.0406
1.1666e+05,-69.0312
1.1718e+05,-68.5469
1.1770e+05,-68.0594
1.1822e+05,-70.05
1.1874e+05,-72.0406
1.1926e+05,-70.05
1.1978e+05,-68.0594
1.2030e+05,-68.2906
1.2083e+05,-68.5187
1.2135e+05,-70.2812
1.2187e+05,-72.0406
1.2239e+05,-69.4813
1.2291e+05,-66.9219
1.2343e+05,-68.9969
1.2395e+05,-71.0719
1.2447e+05,-68.0625
1.2499e+05,-65.05
1.2551e+05,-71.5563
1.2603e+05,-78.0594
1.2655e+05,-72.0406
1.2708e+05,-66.0187
1.2760e+05,-67.525
1.2812e+05,-69.0312
1.2864e+05,-73.5469
1.2916e+05,-78.0594
1.2968e+05,-71.9094
1.3020e+05,-65.7562
1.3072e+05,-64.9188
1.3124e+05,-64.0812
1.3176e+05,-67.5781
1.3228e+05,-71.0719
1.3280e+05,-68.2906
1.3332e+05,-65.5094
1.3385e+05,-70.2812
1.3437e+05,-75.05
1.3489e+05,-68.9
1.3541e+05,-62.7469
1.3593e+05,-64.8344
1.3645e+05,-66.9219
1.3697e+05,-70.9875
1.3749e+05,-75.05
1.3801e+05,-70.9875
1.3853e+05,-66.9219
1.3905e+05,-65.5031
1.3957e+05,-64.0812
1.4010e+05,-66.3
1.4062e+05,-68.5187
1.4114e+05,-69.7969
1.4166e+05,-71.0719
1.4218e+05,-66.9094
1.4270e+05,-62.7469
1.4322e+05,-67.3937
1.4374e+05,-72.0406
1.4426e+05,-71.5563
1.4478e+05,-71.0719
1.4530e+05,-69.5656
1.4582e+05,-68.0594
1.4634e+05,-66.7844
1.4687e+05,-65.5094
1.4739e+05,-68.775
1.4791e+05,-72.0406
1.4843e+05,-67.3937
1.4895e+05,-62.7469
1.4947e+05,-66.9094
1.4999e+05,-71.0719
1.5051e+05,-68.0625
1.5103e+05,-65.05
1.5155e+05,-68.5469
1.5207e+05,-72.0406
1.5259e+05,-68.0625
1.5312e+05,-64.0812
1.5364e+05,-68.0625
1.5416e+05,-72.0406
1.5468e+05,-70.05
1.5520e+05,-68.0594
1.5572e+05,-67.4906
1.5624e+05,-66.9219
1.5676e+05,-72.4906
1.5728e+05,-78.0594
1.5780e+05,-70.75
1.5832e+05,-63.4375
1.5884e+05,-64.7281
1.5936e+05,-66.0187
1.5989e+05,-68.5469
1.6041e+05,-71.0719
1.6093e+05,-67.5781
1.6145e+05,-64.0812
1.6197e+05,-71.0719
1.6249e+05,-78.0594
1.6301e+05,-72.4906
1.6353e+05,-66.9219
1.6405e+05,-65.9875
1.6457e+05,-65.05
1.6509e+05,-68.5469
1.6561e+05,-72.0406
1.6614e+05,-71.5563
1.6666e+05,-71.0719
1.6718e+05,-68.0625
1.6770e+05,-65.05
1.6822e+05,-67.0406
1.6874e+05,-69.0312
1.6926e+05,-66.0219
1.6978e+05,-63.0094
1.7030e+05,-70.5344
1.7082e+05,-78.0594
1.7134e+05,-73.0594
1.7186e+05,-68.0594
1.7238e+05,-67.4906
1.7291e+05,-66.9219
1.7343e+05,-68.9969
1.7395e+05,-71.0719
1.7447e+05,-71.0719
1.7499e+05,-71.0719
1.7551e+05,-71.0719
1.7603e+05,-71.0719
1.7655e+05,-68.9969
1.7707e+05,-66.9219
1.7759e+05,-72.4906
1.7811e+05,-78.0594
1.7863e+05,-70.75
1.7916e+05,-63.4375
1.7968e+05,-65.9781
1.8020e+05,-68.5187
1.8072e+05,-68.2906
1.8124e+05,-68.0594
1.8176e+05,-65.5344
1.8228e+05,-63.0094
1.8280e+05,-70.5344
1.8332e+05,-78.0594
1.8384e+05,-74.5656
1.8436e+05,-71.0719
1.8488e+05,-71.0719
1.8540e+05,-71.0719
1.8593e+05,-69.5656
1.8645e+05,-68.0594
1.8697e+05,-67.4906
1.8749e+05,-66.9219
1.8801e+05,-67.9781
1.8853e+05,-69.0312
1.8905e+05,-70.0531
1.8957e+05,-71.0719
1.9009e+05,-68.0625
1.9061e+05,-65.05
1.9113e+05,-68.0625
1.9165e+05,-71.0719
1.9218e+05,-74.5656
1.9270e+05,-78.0594
1.9322e+05,-71.0719
1.9374e+05,-64.0812
1.9426e+05,-67.5781
1.9478e+05,-71.0719
1.9530e+05,-71.0719
1.9582e+05,-71.0719
1.9634e+05,-68.0625
1.9686e+05,-65.05
1.9738e+05,-70.05
1.9790e+05,-75.05
1.9842e+05,-72.0406
1.9895e+05,-69.0312
1.9947e+05,-69.0312
1.9999e+05,-69.0312
2.0051e+05,-68.5469
2.0103e+05,-68.0594
2.0155e+05,-73.0594
2.0207e+05,-78.0594
2.0259e+05,-72.4906
2.0311e+05,-66.9219
2.0363e+05,-67.9781
2.0415e+05,-69.0312
2.0467e+05,-70.0531
2.0520e+05,-71.0719
2.0572e+05,-68.5469
2.0624e+05,-66.0187
2.0676e+05,-66.0187
2.0728e+05,-66.0187
2.0780e+05,-67.525
2.0832e+05,-69.0312
2.0884e+05,-68.5469
2.0936e+05,-68.0594
2.0988e+05,-70.05
2.1040e+05,-72.0406
2.1092e+05,-71.5563
2.1144e+05,-71.0719
2.1197e+05,-69.5656
2.1249e+05,-68.0594
2.1301e+05,-68.0594
2.1353e+05,-68.0594
2.1405e+05,-69.5656
2.1457e+05,-71.0719
2.1509e+05,-69.5656
2.1561e+05,-68.0594
2.1613e+05,-71.5563
2.1665e+05,-75.05
2.1717e+05,-75.05
2.1769e+05,-75.05
2.1822e+05,-70.9875
2.1874e+05,-66.9219
2.1926e+05,-68.9969
2.1978e+05,-71.0719
2.2030e+05,-73.0625
2.2082e+05,-75.05
2.2134e+05,-70.9875
2.2186e+05,-66.9219
2.2238e+05,-67.9781
2.2290e+05,-69.0312
2.2342e+05,-70.0531
2.2394e+05,-71.0719
2.2446e+05,-70.0531
2.2499e+05,-69.0312
2.2551e+05,-73.5469
2.2603e+05,-78.0594
2.2655e+05,-78.0594
2.2707e+05,-78.0594
2.2759e+05,-73.5469
2.2811e+05,-69.0312
2.2863e+05,-70.0531
2.2915e+05,-71.0719
2.2967e+05,-71.0719
2.3019e+05,-71.0719
2.3071e+05,-74.5656
2.3124e+05,-78.0594
2.3176e+05,-73.0594
2.3228e+05,-68.0594
2.3280e+05,-69.5656
2.3332e+05,-71.0719
2.3384e+05,-74.5656
2.3436e+05,-78.0594
2.3488e+05,-73.5469
2.3540e+05,-69.0312
2.3592e+05,-72.0406
2.3644e+05,-75.05
2.3696e+05,-70.9875
2.3748e+05,-66.9219
2.3801e+05,-69.4813
2.3853e+05,-72.0406
2.3905e+05,-75.05
2.3957e+05,-78.0594
2.4009e+05,-73.5469
2.4061e+05,-69.0312
2.4113e+05,-67.9781
2.4165e+05,-66.9219
2.4217e+05,-70.9875
2.4269e+05,-75.05
2.4321e+05,-72.0406
2.4373e+05,-69.0312
2.4426e+05,-70.0531
2.4478e+05,-71.0719
2.4530e+05,-71.0719
2.4582e+05,-71.0719
2.4634e+05,-71.0719
2.4686e+05,-71.0719
2.4738e+05,-70.0531
2.4790e+05,-69.0312
2.4842e+05,-70.5375
2.4894e+05,-72.0406
2.4946e+05,-75.05
2.4998e+05,-78.0594
2.5050e+05,-73.0594
2.5103e+05,-68.0594
2.5155e+05,-69.5656
2.5207e+05,-71.0719
2.5259e+05,-68.9969
2.5311e+05,-66.9219
2.5363e+05,-70.9875
2.5415e+05,-75.05
2.5467e+05,-75.05
2.5519e+05,-75.05
2.5571e+05,-75.05
2.5623e+05,-75.05
2.5675e+05,-73.0625
2.5728e+05,-71.0719
2.5780e+05,-70.0531
2.5832e+05,-69.0312
2.5884e+05,-73.5469
2.5936e+05,-78.0594
2.5988e+05,-72.4906
2.6040e+05,-66.9219
2.6092e+05,-68.9969
2.6144e+05,-71.0719
2.6196e+05,-69.7969
2.6248e+05,-68.5187
2.6300e+05,-70.2812
2.6352e+05,-72.0406
2.6405e+05,-71.5563
2.6457e+05,-71.0719
2.6509e+05,-73.0625
2.6561e+05,-75.05
2.6613e+05,-73.0625
2.6665e+05,-71.0719
2.6717e+05,-70.0531
2.6769e+05,-69.0312
2.6821e+05,-70.0531
2.6873e+05,-71.0719
2.6925e+05,-70.0531
2.6977e+05,-69.0312
2.7030e+05,-70.0531
2.7082e+05,-71.0719
2.7134e+05,-71.0719
2.7186e+05,-71.0719
2.7238e+05,-70.0531
2.7290e+05,-69.0312
2.7342e+05,-70.0531
2.7394e+05,-71.0719
2.7446e+05,-71.0719
2.7498e+05,-71.0719
2.7550e+05,-71.0719
2.7602e+05,-71.0719
2.7654e+05,-71.0719
2.7707e+05,-71.0719
2.7759e+05,-73.0625
2.7811e+05,-75.05
2.7863e+05,-73.0625
2.7915e+05,-71.0719
2.7967e+05,-71.0719
2.8019e+05,-71.0719
2.8071e+05,-68.9969
2.8123e+05,-66.9219
2.8175e+05,-68.9969
2.8227e+05,-71.0719
2.8279e+05,-68.9969
2.8332e+05,-66.9219
2.8384e+05,-72.4906
2.8436e+05,-78.0594
2.8488e+05,-73.5469
2.8540e+05,-69.0312
2.8592e+05,-70.0531
2.8644e+05,-71.0719
2.8696e+05,-70.0531
2.8748e+05,-69.0312
2.8800e+05,-70.0531
2.8852e+05,-71.0719
2.8904e+05,-70.0531
2.8956e+05,-69.0312
2.9009e+05,-72.0406
2.9061e+05,-75.05
2.9113e+05,-73.0625
