frequency [Hz],output p-p [mV],input p-p [mV],Gain (o/i)
999.99,126,118,1.06779661
999.99,128,118,1.084745763
999.99,126,118,1.06779661
999.99,124,118,1.050847458
999.99,124,118,1.050847458
9999.82,138,122,1.131147541
9999.82,136,122,1.114754098
9999.82,138,122,1.131147541
9999.82,136,122,1.114754098
9999.82,134,122,1.098360656
99999.6,144,122,1.180327869
99999.6,140,122,1.147540984
99999.6,142,124,1.14516129
99999.6,142,122,1.163934426
99999.6,140,122,1.147540984
199999,142,118,1.203389831
199999,144,120,1.2
199999,146,120,1.216666667
199999,146,118,1.237288136
199999,140,120,1.166666667
399999,186,118,1.576271186
399999,188,120,1.566666667
399999,186,116,1.603448276
399999,184,118,1.559322034
399999,190,118,1.610169492
599998,238,118,2.016949153
599998,232,118,1.966101695
599998,234,116,2.017241379
599998,234,118,1.983050847
599998,236,118,2
699998,226,118,1.915254237
699998,228,120,1.9
699998,222,116,1.913793103
699998,228,118,1.93220339
699998,230,116,1.982758621
799998,202,116,1.74137931
799998,206,118,1.745762712
799998,198,116,1.706896552
799998,202,116,1.74137931
799998,202,116,1.74137931
900634,184,118,1.559322034
900634,184,116,1.586206897
900634,184,118,1.559322034
900634,188,116,1.620689655
900634,184,116,1.586206897
1000500,160,114,1.403508772
1000500,164,116,1.413793103
1000500,164,114,1.438596491
1000500,164,118,1.389830508
1000500,160,118,1.355932203
1501680,100,126,0.793650794
1501680,100,118,0.847457627
1501680,100,116,0.862068966
1501680,108,120,0.9
1501680,108,118,0.915254237
2000190,60,118,0.508474576
2000190,56,116,0.482758621
2000190,56,116,0.482758621
2000190,60,116,0.517241379
2000190,60,118,0.508474576
2500010,36,118,0.305084746
2500010,40,118,0.338983051
2500010,32,114,0.280701754
2500010,36,116,0.310344828
2500010,40,114,0.350877193
