frequency [Hz],output p-p [mV],input p-p [mV],Gain (o/i)
999.991,236,118,2
999.991,236,120,1.966666667
999.991,236,118,2
999.991,236,118,2
999.991,236,118,2
9999.85,244,122,2
9999.85,240,122,1.967213115
9999.85,240,122,1.967213115
9999.85,240,120,2
9999.85,244,122,2
99999.6,244,122,2
99999.6,244,120,2.033333333
99999.6,244,122,2
99999.6,244,118,2.06779661
99999.6,244,120,2.033333333
199999,260,120,2.166666667
199999,256,120,2.133333333
199999,256,122,2.098360656
199999,256,120,2.133333333
199999,260,122,2.131147541
399999,308,116,2.655172414
399999,312,118,2.644067797
399999,312,118,2.644067797
399999,316,118,2.677966102
399999,312,118,2.644067797
599998,352,118,2.983050847
599998,356,118,3.016949153
599998,356,120,2.966666667
599998,356,122,2.918032787
599998,352,118,2.983050847
699998,328,118,2.779661017
699998,324,118,2.745762712
699998,324,120,2.7
699998,324,118,2.745762712
699998,328,120,2.733333333
800352,280,120,2.333333333
800352,280,116,2.413793103
800352,276,118,2.338983051
800352,280,116,2.413793103
800352,272,114,2.385964912
900887,244,118,2.06779661
900887,240,118,2.033898305
900887,236,118,2
900887,244,120,2.033333333
900887,244,120,2.033333333
1000403,212,120,1.766666667
1000403,204,118,1.728813559
1000403,212,116,1.827586207
1000403,220,118,1.86440678
1000403,212,116,1.827586207
1503340,124,122,1.016393443
1503340,124,118,1.050847458
1503340,128,120,1.066666667
1503340,124,118,1.050847458
1503340,124,120,1.033333333
2000060,72,118,0.610169492
2000060,68,118,0.576271186
2000060,72,120,0.6
2000060,72,118,0.610169492
2000060,72,118,0.610169492
2500110,48,118,0.406779661
2500110,52,118,0.440677966
2500110,52,120,0.433333333
2500110,52,124,0.419354839
2500110,48,120,0.4
