frequency [Hz],output p-p [mV],input p-p [mV],Gain (o/i)
999.991,552,118,4.677966102
999.991,552,118,4.677966102
999.991,552,118,4.677966102
999.991,552,118,4.677966102
999.991,552,118,4.677966102
9999.85,568,126,4.507936508
9999.85,568,126,4.507936508
9999.85,568,126,4.507936508
9999.85,568,124,4.580645161
9999.85,568,126,4.507936508
99999.6,568,124,4.580645161
99999.6,576,124,4.64516129
99999.6,568,126,4.507936508
99999.6,584,122,4.786885246
99999.6,576,124,4.64516129
199999,600,122,4.918032787
199999,600,124,4.838709677
199999,608,124,4.903225806
199999,600,122,4.918032787
199999,600,124,4.838709677
399999,688,122,5.639344262
399999,680,120,5.666666667
399999,672,122,5.508196721
399999,680,122,5.573770492
399999,672,120,5.6
599998,624,122,5.114754098
599998,632,120,5.266666667
599998,624,124,5.032258065
599998,624,120,5.2
599998,632,122,5.180327869
699998,536,122,4.393442623
699998,528,120,4.4
699998,528,122,4.327868852
699998,536,120,4.466666667
699998,528,122,4.327868852
800352,432,120,3.6
800352,440,118,3.728813559
800352,440,118,3.728813559
800352,448,118,3.796610169
800352,440,118,3.728813559
900887,368,122,3.016393443
900887,368,120,3.066666667
900887,368,122,3.016393443
900887,368,122,3.016393443
900887,368,122,3.016393443
1000403,312,122,2.557377049
1000403,320,120,2.666666667
1000403,312,122,2.557377049
1000403,304,122,2.491803279
1000403,312,118,2.644067797
1503340,160,120,1.333333333
1503340,160,122,1.31147541
1503340,168,124,1.35483871
1503340,168,122,1.37704918
1503340,160,124,1.290322581
2000060,80,122,0.655737705
2000060,80,120,0.666666667
2000060,80,122,0.655737705
2000060,80,118,0.677966102
2000060,80,118,0.677966102
2500110,48,118,0.406779661
2500110,56,120,0.466666667
2500110,48,118,0.406779661
2500110,56,122,0.459016393
2500110,48,120,0.4
